Тип предприятия,Код предприятия,Количество хостов,Код реализованной угрозы,Успех,Регион размещения предприятия,Дата инцидента,Региональное время
НКО,1825,251,190,1,Республика Марий,02.04.2024,02.04.2024 07:47
химия,8936,378,152,1,Республика Адыгея,03.03.2023,03.03.2023 05:13
отели,8280,1432,7,0,Севастополь,09.05.2025,09.05.2025 10:28
фармацевтика,4558,1857,223,0,Смоленская область,15.05.2025,15.05.2025 13:17
энергетика,3528,1763,87,0,Архангельская область,17.02.2025,17.02.2025 06:22
системная интеграция,9892,741,207,0,Свердловская область,13.09.2023,13.09.2023 17:05
медицина,4804,1898,161,1,Амурская область,29.01.2024,30.01.2024 07:04
машиностроение,3734,1783,75,0,Рязанская область,26.07.2023,26.07.2023 15:17
консалтинг,5978,533,95,1,Липецкая область,30.06.2024,01.07.2024 01:59
НКО,1170,1447,163,0,Республика Хакасия,16.05.2024,16.05.2024 12:29
маркетинг,4423,1510,177,0,Херсонская область,26.10.2024,26.10.2024 04:14
машиностроение,5169,1021,69,0,Тамбовская область,06.10.2024,06.10.2024 09:41
логистика,6483,1516,118,0,Республика Мордовия,13.10.2023,13.10.2023 10:47
медицина,8831,738,192,1,Республика Саха (Якутия),28.03.2025,28.03.2025 20:14
энергетика,8349,1210,24,0,Новгородская область,10.11.2023,10.11.2023 23:10
реклама,9772,330,99,1,Хабаровский край,16.08.2025,17.08.2025 02:16
медицина,0189,1593,185,0,Херсонская область,30.06.2024,30.06.2024 23:21
химия,4809,1090,41,1,Калининградская область,23.06.2024,23.06.2024 18:48
розничная торговля,8318,417,223,1,Чукотский автономный округ,05.11.2025,06.11.2025 07:12
энергетика,6127,1761,42,0,Хабаровский край,25.10.2024,26.10.2024 01:01
химия,5948,1999,213,1,Тульская область,29.04.2023,29.04.2023 10:56
фармацевтика,1291,375,188,1,Ленинградская область,26.12.2025,26.12.2025 07:08
логистика,9008,538,68,1,Тамбовская область,16.02.2024,17.02.2024 01:19
маркетинг,6119,1097,133,1,Тверская область,22.05.2024,22.05.2024 10:04
телекоммуникации,0345,1404,142,0,Еврейская автономная область,27.03.2024,27.03.2024 10:04
НКО,0965,668,18,0,Самарская область,26.05.2023,26.05.2023 19:15
автобизнес,7954,638,139,0,Амурская область,26.08.2025,26.08.2025 16:50
логистика,6670,589,25,0,Донецкая Народная Республика,01.06.2025,01.06.2025 14:27
реклама,7652,1969,187,0,Запорожская область,21.07.2023,21.07.2023 04:25
телекоммуникации,1791,709,50,0,Республика Хакасия,07.07.2025,07.07.2025 11:27
розничная торговля,4564,1147,64,0,Ханты-Мансийский автономный округ - Югра,20.07.2023,20.07.2023 06:41
медицина,0242,391,193,0,Брянская область,12.04.2025,12.04.2025 18:30
ресторанный бизнес,6571,320,43,1,Калининградская область,10.03.2025,10.03.2025 10:59
консалтинг,4674,1066,179,1,Костромская область,24.01.2024,24.01.2024 12:13
машиностроение,9490,1706,139,0,Пензенская область,28.04.2023,28.04.2023 04:37
логистика,8239,1946,136,0,Краснодарский край,06.11.2025,06.11.2025 05:54
розничная торговля,1123,1418,18,0,Республика Ингушетия,03.09.2023,03.09.2023 21:15
фармацевтика,9741,281,159,0,Республика Дагестан,06.12.2025,06.12.2025 13:59
автобизнес,3347,1571,184,1,Тульская область,27.06.2024,27.06.2024 15:08
НКО,4916,1136,81,0,Санкт-Петербург,27.07.2025,27.07.2025 22:36
химия,1201,1301,55,1,Ярославская область,15.12.2024,15.12.2024 05:56
отели,6055,783,41,1,Красноярский край,11.09.2024,12.09.2024 02:51
НКО,8667,216,171,1,Донецкая Народная Республика,01.08.2023,01.08.2023 07:16
химия,1754,1720,142,0,Нижегородская область,31.07.2024,31.07.2024 22:13
телекоммуникации,3336,1607,163,1,Новосибирская область,27.09.2025,27.09.2025 15:57
машиностроение,1513,1499,109,1,Республика Карелия,08.01.2023,08.01.2023 13:49
энергетика,4292,530,190,1,Иркутская область,25.05.2025,26.05.2025 01:00
химия,1233,1615,39,0,Ростовская область,31.10.2023,31.10.2023 16:08
машиностроение,5051,946,204,0,Астраханская область,06.03.2024,07.03.2024 00:15
химия,5795,1797,144,1,Магаданская область,13.11.2023,13.11.2023 18:55
розничная торговля,2901,1044,7,0,Самарская область,23.04.2025,24.04.2025 00:55
отели,4372,526,202,0,Ставропольский край,21.03.2023,21.03.2023 18:14
ресторанный бизнес,7542,916,79,0,Воронежская область,18.02.2023,19.02.2023 00:12
маркетинг,5379,770,222,0,Кировская область,20.12.2024,20.12.2024 23:32
маркетинг,8786,878,8,0,Республика Мордовия,01.01.2024,01.01.2024 21:16
машиностроение,1777,1421,112,1,Пензенская область,12.06.2025,12.06.2025 22:32
химия,6312,1380,49,1,Республика Карелия,12.06.2025,12.06.2025 03:33
медицина,3229,945,111,0,Луганская Народная Республика,07.11.2024,07.11.2024 22:20
химия,4921,1238,80,1,Ульяновская область,04.04.2025,05.04.2025 01:18
медицина,2086,592,108,1,Запорожская область,23.12.2023,23.12.2023 22:36
информационные технологии,6654,1322,214,0,Пермский край,10.08.2024,10.08.2024 11:27
фармацевтика,9940,1540,83,1,Ханты-Мансийский автономный округ - Югра,24.06.2025,25.06.2025 02:13
безопасность,7753,1825,204,0,Донецкая Народная Республика,23.06.2023,23.06.2023 12:32
НКО,5492,391,210,0,Запорожская область,27.09.2024,27.09.2024 10:51
ресторанный бизнес,2415,250,12,0,Курганская область,30.05.2023,30.05.2023 19:26
НКО,9432,598,184,1,Томская область,29.03.2025,29.03.2025 14:09
НКО,0091,1737,221,0,Республика Карачаево-Черкесия,24.03.2024,24.03.2024 08:51
безопасность,7612,302,143,0,Тверская область,23.07.2025,23.07.2025 07:51
консалтинг,8703,1344,153,1,Ханты-Мансийский автономный округ - Югра,30.10.2025,30.10.2025 18:53
медицина,7306,525,191,1,Тюменская область,14.06.2024,14.06.2024 12:53
НКО,4544,1768,200,1,Камчатский край,04.05.2024,04.05.2024 20:28
добыча,4682,680,70,1,Пензенская область,15.06.2023,15.06.2023 07:09
отели,6276,1621,40,0,Ленинградская область,29.04.2025,29.04.2025 16:21
медицина,7634,1051,16,0,Республика Дагестан,08.03.2025,08.03.2025 21:44
металлургия,9433,979,123,0,Астраханская область,03.09.2024,03.09.2024 15:54
реклама,8819,1730,189,0,Омская область,25.03.2024,25.03.2024 14:27
логистика,0476,996,87,1,Брянская область,15.08.2025,15.08.2025 07:39
медицина,0442,1006,152,0,Ненецкий автономный округ,27.05.2025,27.05.2025 07:55
консалтинг,2978,302,67,1,Ульяновская область,09.03.2024,09.03.2024 17:20
телекоммуникации,6212,769,193,1,Чувашская Республика,17.06.2023,17.06.2023 18:01
