infrastructure_cluster,threat_cluster,target,n_rows,n_positive,pos_rate,train_size,val_size,test_size,val_roc_auc,val_pr_auc,val_f1,test_roc_auc,test_pr_auc,test_f1,best_iteration,horizon
1,1,target_next_7d,1088,364,0.3346,761,163,164,0.6878,0.6264,0.1795,0.7421,0.6707,0.2222,29,7d
1,2,target_next_7d,1088,409,0.3759,761,163,164,0.6726,0.709,0.5921,0.6801,0.4959,0.1846,3,7d
1,3,target_next_7d,1088,415,0.3814,761,163,164,0.6148,0.5796,0.5872,0.5535,0.4628,0.4035,2,7d
1,4,target_next_7d,1088,500,0.4596,761,163,164,0.587,0.5614,0.069,0.5955,0.4951,0.0,139,7d
1,5,target_next_7d,1088,454,0.4173,761,163,164,0.7106,0.5953,0.4505,0.4938,0.3515,0.4056,60,7d
1,6,target_next_7d,1088,360,0.3309,761,163,164,0.8417,0.6224,0.0,0.3646,0.3226,0.4706,51,7d
2,1,target_next_7d,1088,481,0.4421,761,163,164,0.5729,0.4733,0.3415,0.4748,0.4494,0.0,30,7d
2,2,target_next_7d,1088,468,0.4301,761,163,164,0.6801,0.658,0.4423,0.4184,0.3868,0.4575,6,7d
2,3,target_next_7d,1088,502,0.4614,761,163,164,0.6461,0.6463,0.1538,0.4995,0.4968,0.4539,184,7d
2,4,target_next_7d,1088,571,0.5248,761,163,164,0.6329,0.6314,0.5248,0.5098,0.4469,0.514,1,7d
2,5,target_next_7d,1088,506,0.4651,761,163,164,0.5826,0.5361,0.4412,0.4152,0.3869,0.2143,3,7d
2,6,target_next_7d,1088,358,0.329,761,163,164,0.5358,0.4116,0.3178,0.5466,0.4861,0.3,18,7d
3,1,target_next_7d,1088,381,0.3502,761,163,164,0.6517,0.1992,0.2936,0.5826,0.4679,0.419,0,7d
3,2,target_next_7d,1088,503,0.4623,761,163,164,0.4262,0.3689,0.1553,0.5738,0.536,0.3802,134,7d
3,3,target_next_7d,1088,455,0.4182,761,163,164,0.6236,0.6188,0.5212,0.2242,0.3294,0.3468,4,7d
3,4,target_next_7d,1088,500,0.4596,761,163,164,0.555,0.4875,0.3684,0.4442,0.225,0.0,0,7d
3,5,target_next_7d,1088,425,0.3906,761,163,164,0.6193,0.3736,0.4211,0.295,0.373,0.1789,71,7d
3,6,target_next_7d,1088,416,0.3824,761,163,164,0.5742,0.7036,0.6608,0.5764,0.4695,0.5291,2,7d
4,1,target_next_7d,1088,404,0.3713,761,163,164,0.8243,0.3303,0.3939,0.558,0.491,0.023,55,7d
4,2,target_next_7d,1088,447,0.4108,761,163,164,0.5738,0.5804,0.4054,0.6651,0.5541,0.6154,1,7d
4,3,target_next_7d,1088,386,0.3548,761,163,164,0.4897,0.169,0.12,0.5023,0.5045,0.3089,44,7d
4,4,target_next_7d,1088,440,0.4044,761,163,164,0.692,0.6872,0.6296,0.7236,0.4999,0.6165,8,7d
4,5,target_next_7d,1088,336,0.3088,761,163,164,0.6874,0.7452,0.0506,0.6399,0.2183,0.2778,60,7d
4,6,target_next_7d,1088,371,0.341,761,163,164,0.6471,0.611,0.3303,0.5442,0.3557,0.3303,14,7d
