infrastructure_cluster,threat_cluster,target,ablated_group,n_features,val_roc_auc,val_pr_auc,val_f1,test_roc_auc,test_pr_auc,test_f1,delta_test_roc_auc,delta_test_pr_auc,delta_test_f1
2,3,target_next_24h,none,21,0.5585585585585585,0.13087322159738823,0.0,0.5094037615046019,0.15777835312631366,0.13333333333333333,0.0,0.0,0.0
2,3,target_next_24h,calendar,18,0.5522522522522523,0.11159331377256156,0.08,0.523609443777511,0.12022101386126728,0.09090909090909091,0.014205682272909081,-0.03755733926504638,-0.04242424242424242
2,3,target_next_24h,rolling_incidents,19,0.5878378378378379,0.13975338467766393,0.05555555555555555,0.6244497799119647,0.15466646775586423,0.1875,0.11504601840736284,-0.00311188537044943,0.05416666666666667
2,3,target_next_24h,rolling_success,17,0.6988738738738739,0.18532885301163,0.29508196721311475,0.5422168867547019,0.11679963360787177,0.18666666666666668,0.03281312525010005,-0.0409787195184419,0.053333333333333344
2,3,target_next_24h,history_flags,18,0.5945945945945945,0.20590987046931963,0.1,0.578031212484994,0.13244840235051544,0.17142857142857143,0.06862745098039214,-0.02532995077579822,0.0380952380952381
2,3,target_next_24h,lags,20,0.6225225225225226,0.13685972226749615,0.0,0.6338535414165666,0.17190947910524787,0.15789473684210525,0.12444977991196471,0.014131125978934206,0.024561403508771923
2,3,target_next_24h,other,13,0.6013513513513513,0.12937387097264968,0.08695652173913043,0.5722288915566227,0.1658061403151455,0.2777777777777778,0.06282513005202084,0.008027787188831847,0.14444444444444446
3,4,target_next_24h,none,21,0.5558485139022052,0.11446882892410357,0.14705882352941177,0.6706096451319381,0.14387249392547874,0.08955223880597014,0.0,0.0,0.0
3,4,target_next_24h,calendar,18,0.6754554170661553,0.18456502884896286,0.18309859154929578,0.29981801637852584,0.03376097416697326,0.07643312101910828,-0.37079162875341226,-0.11011151975850547,-0.013119117786861867
3,4,target_next_24h,rolling_incidents,19,0.5956375838926173,0.1627026391686042,0.1917808219178082,0.4076433121019108,0.041478460634072276,0.08163265306122448,-0.2629663330300273,-0.10239403329140646,-0.00791958574474566
3,4,target_next_24h,rolling_success,17,0.5584851390220518,0.09746149993739828,0.15384615384615385,0.4440400363967243,0.03879175818331228,0.07936507936507936,-0.2265696087352138,-0.10508073574216646,-0.010187159440890783
3,4,target_next_24h,history_flags,18,0.6502876318312559,0.14811691105094912,0.25806451612903225,0.4927206551410373,0.052803853754940705,0.06593406593406594,-0.1778889899909008,-0.09106864017053803,-0.02361817287190421
3,4,target_next_24h,lags,20,0.6088207094918505,0.12624478906909783,0.15037593984962405,0.8343949044585988,0.41601560575960067,0.17391304347826086,0.16378525932666066,0.27214311183412193,0.08436080467229072
3,4,target_next_24h,other,13,0.5649568552253116,0.11641939842690657,0.16279069767441862,0.6141947224749772,0.06326425221686523,0.12121212121212122,-0.05641492265696091,-0.08060824170861351,0.03165988240615107
1,4,target_next_24h,none,21,0.6211368653421634,0.0953870445852189,0.0,0.40938799762329176,0.13114022236141448,0.10526315789473684,0.0,0.0,0.0
1,4,target_next_24h,calendar,18,0.5921633554083885,0.08950230856378055,0.13114754098360656,0.5130718954248366,0.09260384594609193,0.0851063829787234,0.1036838978015448,-0.03853637641532255,-0.020156774916013434
1,4,target_next_24h,rolling_incidents,19,0.5270419426048565,0.09225105860187024,0.10810810810810811,0.5252525252525253,0.18178605241453355,0.10526315789473684,0.11586452762923355,0.05064583005311907,0.0
1,4,target_next_24h,rolling_success,17,0.46467991169977924,0.0701687079997803,0.0,0.6737967914438503,0.13089014310764774,0.0,0.26440879382055854,-0.000250079253766744,-0.10526315789473684
1,4,target_next_24h,history_flags,18,0.5971302428256071,0.12065756923113666,0.1,0.5692216280451574,0.13051942650593812,0.09523809523809523,0.15983363042186566,-0.0006207958554763637,-0.010025062656641603
1,4,target_next_24h,lags,20,0.5209713024282561,0.08268999223030263,0.0,0.5668449197860962,0.11899093021690922,0.0,0.15745692216280444,-0.012149292144505261,-0.10526315789473684
1,4,target_next_24h,other,13,0.6410044150110376,0.12011359633342664,0.16393442622950818,0.523767082590612,0.10022996836938976,0.1346153846153846,0.11437908496732024,-0.030910253992024725,0.029352226720647773
