infrastructure_cluster,threat_cluster,target,ablated_group,n_features,val_roc_auc,val_pr_auc,val_f1,test_roc_auc,test_pr_auc,test_f1,delta_test_roc_auc,delta_test_pr_auc,delta_test_f1
1,1,target_next_7d,none,21,0.6878444580526638,0.626405517684393,0.1794871794871795,0.7420634920634921,0.6706837127425024,0.2222222222222222,0.0,0.0,0.0
1,1,target_next_7d,calendar,18,0.6246172688303735,0.5385655837820682,0.36363636363636365,0.7014715608465609,0.6292589930383551,0.40476190476190477,-0.040591931216931165,-0.041424719704147295,0.18253968253968256
1,1,target_next_7d,rolling_incidents,19,0.7798530312308634,0.7366666711753003,0.08108108108108109,0.5866402116402117,0.47640151715849394,0.0,-0.15542328042328035,-0.19428219558400844,-0.2222222222222222
1,1,target_next_7d,rolling_success,17,0.7235150030618495,0.6726669420259155,0.46296296296296297,0.5472056878306879,0.5230222615749685,0.3783783783783784,-0.1948578042328042,-0.14766145116753393,0.1561561561561562
1,1,target_next_7d,history_flags,18,0.7741886099203918,0.7675120087115499,0.5283018867924528,0.5305886243386243,0.48994424830193095,0.33766233766233766,-0.2114748677248678,-0.18073946444057143,0.11544011544011545
1,1,target_next_7d,lags,20,0.7936313533374157,0.7159318985275073,0.41237113402061853,0.6033399470899471,0.5454580300539376,0.13333333333333333,-0.138723544973545,-0.12522568268856482,-0.08888888888888888
1,1,target_next_7d,other,13,0.7953153704837723,0.6438109388784525,0.7183098591549296,0.6254960317460317,0.5119821720696329,0.509090909090909,-0.11656746031746035,-0.15870154067286946,0.28686868686868683
4,2,target_next_7d,none,21,0.5737729599518218,0.5803696602159498,0.40540540540540543,0.6651411136536995,0.5540690987819326,0.6153846153846154,0.0,0.0,0.0
4,2,target_next_7d,calendar,18,0.49179464016862395,0.5307120136276537,0.24761904761904763,0.5289092295957285,0.44244704727316725,0.21153846153846154,-0.13623188405797104,-0.11162205150876531,-0.40384615384615385
4,2,target_next_7d,rolling_incidents,19,0.6379855465221319,0.6408910540440217,0.556390977443609,0.5574370709382152,0.45451800917773094,0.592274678111588,-0.1077040427154844,-0.09955108960420161,-0.02310993727302746
4,2,target_next_7d,rolling_success,17,0.5169376693766938,0.49465500667002654,0.5185185185185185,0.38787185354691067,0.3762906736618854,0.592274678111588,-0.2772692601067889,-0.17777842512004716,-0.02310993727302746
4,2,target_next_7d,history_flags,18,0.5394459500150557,0.5833939970426795,0.3969465648854962,0.47299771167048055,0.470310878964997,0.5945945945945946,-0.192143401983219,-0.08375821981693554,-0.02079002079002079
4,2,target_next_7d,lags,20,0.4740289069557362,0.5073084911260185,0.3880597014925373,0.4183829138062547,0.3714774434572037,0.592274678111588,-0.24675819984744485,-0.18259165532472887,-0.02310993727302746
4,2,target_next_7d,other,13,0.6729147847034026,0.6754955595054695,0.39285714285714285,0.5935163996948895,0.5081135432795046,0.592274678111588,-0.0716247139588101,-0.045955555502427914,-0.02310993727302746
3,2,target_next_7d,none,21,0.4261609907120743,0.3688999300212945,0.1553398058252427,0.5737924865831843,0.5359979538827214,0.38016528925619836,0.0,0.0,0.0
3,2,target_next_7d,calendar,18,0.5,0.4171779141104294,0.5887445887445888,0.5,0.47560975609756095,0.6446280991735537,-0.07379248658318427,-0.06038819778516047,0.2644628099173553
3,2,target_next_7d,rolling_incidents,19,0.5946594427244581,0.45611030188908336,0.1875,0.49358974358974356,0.5291053003163682,0.2,-0.08020274299344071,-0.006892653566353268,-0.18016528925619835
3,2,target_next_7d,rolling_success,17,0.526625386996904,0.482188683496657,0.32967032967032966,0.5414430530709601,0.5410366838277734,0.12048192771084337,-0.03234943351222419,0.005038729945051945,-0.259683361545355
3,2,target_next_7d,history_flags,18,0.5448916408668731,0.5205427176627969,0.13157894736842105,0.4312015503875969,0.49040803648257747,0.29357798165137616,-0.14259093619558738,-0.04558991740014395,-0.0865873076048222
3,2,target_next_7d,lags,20,0.5555727554179567,0.4566080366529114,0.3076923076923077,0.5478533094812164,0.5110363094581172,0.25263157894736843,-0.025939177101967914,-0.024961644424604246,-0.12753371030882993
3,2,target_next_7d,other,13,0.6204334365325077,0.5221287928949433,0.4264705882352941,0.4443202146690519,0.5118769158369645,0.4025157232704403,-0.12947227191413235,-0.024121038045756937,0.022350434014241916
