feature,mean_abs_shap,segment,horizon
days_since_last_incident,0.14078516146594758,infra2_thr3,24h
avg_inter_attack_interval,0.1377551777856499,infra2_thr3,24h
day_of_month,0.09739177593509424,infra2_thr3,24h
succ_30d_sum,0.07725675407647055,infra2_thr3,24h
month,0.07222839609680518,infra2_thr3,24h
day_of_week,0.06784241767612265,infra2_thr3,24h
days_since_last_success,0.06705728952810577,infra2_thr3,24h
type_inc_30d_sum,0.05779752804328256,infra2_thr3,24h
had_incident_prev_7d,0.05599317782377132,infra2_thr3,24h
type_inc_7d_sum,0.05216169316551725,infra2_thr3,24h
streak_quiet_days,0.044189283147501875,infra2_thr3,24h
success_ratio_7d,0.041985689096573284,infra2_thr3,24h
succ_7d_sum,0.03218652004431971,infra2_thr3,24h
inc_30d_sum,0.019115508112063855,infra2_thr3,24h
had_incident_prev_1d,0.017363610746446483,infra2_thr3,24h
attack_rate_trend,0.015188873353271619,infra2_thr3,24h
inc_7d_sum,0.01375117161322796,infra2_thr3,24h
had_incident_prev_3d,0.0073615809429770016,infra2_thr3,24h
inc_3d_sum,0.006773134958395184,infra2_thr3,24h
lag_inc_1d,0.0,infra2_thr3,24h
streak_active_days,0.0,infra2_thr3,24h
avg_inter_attack_interval,0.03703917913552282,infra3_thr4,24h
type_inc_30d_sum,0.03044686870119466,infra3_thr4,24h
succ_7d_sum,0.024140827822520895,infra3_thr4,24h
type_inc_7d_sum,0.023874722131320726,infra3_thr4,24h
day_of_month,0.019435537274089833,infra3_thr4,24h
success_ratio_7d,0.011755528438838859,infra3_thr4,24h
streak_quiet_days,0.009218100896882245,infra3_thr4,24h
inc_30d_sum,0.00857607712279703,infra3_thr4,24h
day_of_week,0.0061022935643361,infra3_thr4,24h
days_since_last_success,0.004051337382666337,infra3_thr4,24h
month,0.0039688398158866395,infra3_thr4,24h
had_incident_prev_3d,0.0032930778661714585,infra3_thr4,24h
inc_3d_sum,0.001575622945072299,infra3_thr4,24h
attack_rate_trend,0.0010087306389292997,infra3_thr4,24h
succ_30d_sum,0.00025950364406716875,infra3_thr4,24h
lag_inc_1d,0.0,infra3_thr4,24h
inc_7d_sum,0.0,infra3_thr4,24h
days_since_last_incident,0.0,infra3_thr4,24h
had_incident_prev_7d,0.0,infra3_thr4,24h
had_incident_prev_1d,0.0,infra3_thr4,24h
streak_active_days,0.0,infra3_thr4,24h
day_of_month,0.04968293759344912,infra1_thr4,24h
month,0.03973921843560338,infra1_thr4,24h
succ_30d_sum,0.03832075813266399,infra1_thr4,24h
avg_inter_attack_interval,0.021953442481826322,infra1_thr4,24h
streak_quiet_days,0.020332949659214547,infra1_thr4,24h
type_inc_7d_sum,0.018737613657087746,infra1_thr4,24h
days_since_last_success,0.01718572117776617,infra1_thr4,24h
inc_30d_sum,0.014976028119766747,infra1_thr4,24h
day_of_week,0.012029402924923794,infra1_thr4,24h
succ_7d_sum,0.01075463438074958,infra1_thr4,24h
type_inc_30d_sum,0.01065504503316611,infra1_thr4,24h
success_ratio_7d,0.009865919544333008,infra1_thr4,24h
attack_rate_trend,0.009246814474443641,infra1_thr4,24h
had_incident_prev_7d,0.006080164035358841,infra1_thr4,24h
had_incident_prev_3d,0.006059781716767661,infra1_thr4,24h
inc_3d_sum,0.00033067018865972616,infra1_thr4,24h
lag_inc_1d,0.0,infra1_thr4,24h
days_since_last_incident,0.0,infra1_thr4,24h
had_incident_prev_1d,0.0,infra1_thr4,24h
inc_7d_sum,0.0,infra1_thr4,24h
streak_active_days,0.0,infra1_thr4,24h
