feature,mean_abs_shap,segment,horizon
day_of_month,0.23720482250608363,infra4_thr4,24h
streak_quiet_days,0.22427741842652818,infra4_thr4,24h
month,0.16991388990490816,infra4_thr4,24h
avg_inter_attack_interval,0.14303626396833558,infra4_thr4,24h
days_since_last_success,0.14109979327282465,infra4_thr4,24h
day_of_week,0.13533442676620208,infra4_thr4,24h
days_since_last_incident,0.12220695958558235,infra4_thr4,24h
type_inc_30d_sum,0.10557730333892393,infra4_thr4,24h
type_inc_7d_sum,0.07470607228090954,infra4_thr4,24h
inc_30d_sum,0.0671740545377996,infra4_thr4,24h
success_ratio_7d,0.05323114327292933,infra4_thr4,24h
succ_30d_sum,0.053039353668488276,infra4_thr4,24h
had_incident_prev_7d,0.03602387858406609,infra4_thr4,24h
had_incident_prev_3d,0.028197936208826102,infra4_thr4,24h
had_incident_prev_1d,0.023164017986191686,infra4_thr4,24h
attack_rate_trend,0.02064651093077114,infra4_thr4,24h
succ_7d_sum,0.020207323823481727,infra4_thr4,24h
inc_3d_sum,0.01811382463681161,infra4_thr4,24h
inc_7d_sum,0.0087928031699682,infra4_thr4,24h
streak_active_days,0.004547958378525542,infra4_thr4,24h
lag_inc_1d,0.0035022680766867804,infra4_thr4,24h
