infrastructure_cluster,threat_cluster,target,n_rows,n_train,n_val,n_test,n_unique_classes_train,min_class_count_train,best_iteration,val_macro_f1,val_weighted_f1,val_accuracy,val_recall_cls0,val_recall_cls1,val_recall_cls2,val_recall_cls3,val_recall_cls4,val_precision_cls0,val_precision_cls1,val_precision_cls2,val_precision_cls3,val_precision_cls4,val_f1_cls0,val_f1_cls1,val_f1_cls2,val_f1_cls3,val_f1_cls4,test_macro_f1,test_weighted_f1,test_accuracy,test_recall_cls0,test_recall_cls1,test_recall_cls2,test_recall_cls3,test_recall_cls4,test_precision_cls0,test_precision_cls1,test_precision_cls2,test_precision_cls3,test_precision_cls4,test_f1_cls0,test_f1_cls1,test_f1_cls2,test_f1_cls3,test_f1_cls4
1,1,attack_window_class,1088,761,163,164,5,70,24,0.2682,0.2975,0.3313,0.125,0.0952,0.1515,0.6341,0.4091,0.5,0.2,0.2941,0.3467,0.3273,0.2,0.129,0.2,0.4483,0.3636,0.1624,0.2937,0.4085,0.1,0.0,0.0417,0.0,0.8767,0.4,0.0,0.0769,0.0,0.4539,0.16,,0.0541,,0.5981
1,2,attack_window_class,1088,761,163,164,5,81,1,0.1895,0.2028,0.2945,0.3333,0.0,0.1463,0.9143,0.0,0.2439,,0.4286,0.2963,,0.2817,,0.2182,0.4476,,0.1098,0.2512,0.3232,0.0,0.0,0.0,0.0,0.7067,0.0,,0.0,0.0,0.4492,,,,,0.5492
1,3,attack_window_class,1088,761,163,164,5,82,9,0.1293,0.1178,0.1472,0.4,0.2857,0.0476,0.2051,0.0,0.1127,0.1132,0.25,0.2581,,0.1758,0.1622,0.08,0.2286,,0.1422,0.1886,0.2012,0.1364,0.0,0.0345,0.1714,0.377,0.1111,0.0,0.1429,0.3333,0.2584,0.1224,,0.0556,0.2264,0.3067
1,4,attack_window_class,1088,761,163,164,5,106,20,0.2506,0.2764,0.2638,0.36,0.1364,0.3333,0.28,0.125,0.2308,0.375,0.3333,0.4667,0.0682,0.2812,0.2,0.3333,0.35,0.0882,0.2456,0.3223,0.3293,0.2727,0.0556,0.3,0.1786,0.4737,0.2143,0.2,0.1818,0.2381,0.4675,0.24,0.087,0.2264,0.2041,0.4706
1,5,attack_window_class,1088,761,163,164,5,91,15,0.2578,0.2865,0.3006,0.0769,0.2381,0.129,0.4872,0.413,0.4,0.1786,0.129,0.38,0.3878,0.129,0.2041,0.129,0.427,0.4,0.2577,0.2855,0.2744,0.2778,0.4706,0.1379,0.2045,0.3393,0.1923,0.1778,0.1379,0.3,0.5588,0.2273,0.2581,0.1379,0.2432,0.4222
1,6,attack_window_class,1088,761,163,164,5,75,5,0.2926,0.5017,0.4724,0.3,0.1,0.2,0.25,0.6526,0.1111,0.0833,0.1379,0.5833,0.747,0.1622,0.0909,0.1633,0.35,0.6966,0.1544,0.1671,0.2195,0.1818,0.0,0.7188,0.0,0.1579,0.5,0.0,0.1825,0.0,0.3333,0.2667,,0.2911,,0.2143
2,1,attack_window_class,1088,761,163,164,5,97,28,0.2846,0.3225,0.3252,0.7308,0.0909,0.0333,0.275,0.4444,0.181,0.2857,0.1429,0.6875,0.7143,0.2901,0.1379,0.0541,0.3929,0.5479,0.1711,0.1855,0.2866,0.087,0.0,0.0,0.2,1.0,0.6667,,,0.6154,0.25,0.1538,,,0.3019,0.4
2,2,attack_window_class,1088,761,163,164,5,98,13,0.2081,0.2409,0.3006,0.0435,0.0952,0.0,0.5714,0.5238,0.1111,0.4,0.0,0.2424,0.449,0.0625,0.1538,,0.3404,0.4835,0.105,0.084,0.1402,0.0,0.0,0.32,0.5357,0.0,0.0,0.0,0.2963,0.1364,,,,0.3077,0.2174,
2,3,attack_window_class,1088,761,163,164,5,96,1,0.2112,0.2087,0.2454,0.25,0.1304,0.075,0.1026,0.697,0.175,0.1579,0.75,0.1212,0.3433,0.2059,0.1429,0.1364,0.1111,0.46,0.1717,0.1638,0.2256,0.4194,0.0,0.2162,0.0,0.5926,0.1711,,0.3636,,0.2424,0.243,,0.2712,,0.3441
2,4,attack_window_class,1088,761,163,164,5,121,39,0.2135,0.218,0.2822,0.1852,0.08,0.0,0.6512,0.4074,0.3571,0.2,,0.3256,0.2075,0.2439,0.1143,,0.4341,0.275,0.1193,0.1471,0.1524,0.3077,0.1429,0.0333,0.0,0.2063,0.1176,0.1071,0.3333,0.0,0.2955,0.1702,0.1224,0.0606,,0.243
