infrastructure_cluster,threat_cluster,target,n_rows,n_train,n_val,n_test,n_unique_classes_train,min_class_count_train,best_iteration,val_macro_f1,val_weighted_f1,val_accuracy,val_recall_cls0,val_recall_cls1,val_recall_cls2,val_recall_cls3,val_recall_cls4,val_precision_cls0,val_precision_cls1,val_precision_cls2,val_precision_cls3,val_precision_cls4,val_f1_cls0,val_f1_cls1,val_f1_cls2,val_f1_cls3,val_f1_cls4,test_macro_f1,test_weighted_f1,test_accuracy,test_recall_cls0,test_recall_cls1,test_recall_cls2,test_recall_cls3,test_recall_cls4,test_precision_cls0,test_precision_cls1,test_precision_cls2,test_precision_cls3,test_precision_cls4,test_f1_cls0,test_f1_cls1,test_f1_cls2,test_f1_cls3,test_f1_cls4
1,1,attack_window_class,1088,761,163,164,5,70,25,0.1688,0.2073,0.2761,0.0833,0.0,0.0,0.5854,0.4318,0.1538,,0.0,0.3,0.2794,0.1081,,,0.3967,0.3393,0.1855,0.323,0.3902,0.3,0.0,0.0,0.069,0.7671,0.1667,0.0,0.0,0.087,0.5437,0.2143,,,0.0769,0.6364
1,2,attack_window_class,1088,761,163,164,5,81,4,0.0833,0.088,0.1718,0.0,0.0,0.0976,0.0,0.75,,0.0,0.1333,0.0,0.1905,,,0.1127,,0.3038,0.1952,0.3484,0.4878,0.0,0.0,0.1667,0.0312,1.0,,,0.6667,0.3333,0.4839,,,0.2667,0.0571,0.6522
1,3,attack_window_class,1088,761,163,164,5,82,21,0.2055,0.1881,0.2638,0.35,0.2857,0.0476,0.7179,0.0,0.2593,0.1818,0.25,0.3043,0.0,0.2979,0.2222,0.08,0.4275,,0.1388,0.2045,0.2561,0.0455,0.0,0.0,0.2,0.5574,0.0625,0.0,0.0,0.3684,0.2906,0.0526,,,0.2593,0.382
1,4,attack_window_class,1088,761,163,164,5,106,22,0.1779,0.2057,0.2147,0.24,0.0,0.0952,0.36,0.2917,0.24,0.0,0.5714,0.3333,0.0921,0.24,,0.1633,0.3462,0.14,0.152,0.2754,0.3293,0.2727,0.0,0.0,0.0357,0.6184,0.1538,,,0.0476,0.4519,0.1967,,,0.0408,0.5222
1,5,attack_window_class,1088,761,163,164,5,91,7,0.2464,0.2452,0.3067,0.0769,0.2381,0.3871,0.7436,0.0435,0.2857,0.25,0.2857,0.3372,0.25,0.1212,0.2439,0.3288,0.464,0.0741,0.1984,0.1918,0.25,0.0,0.5882,0.4138,0.4318,0.0,0.0,0.2,0.2069,0.4043,0.0,,0.2985,0.2759,0.4176,
1,6,attack_window_class,1088,761,163,164,5,75,319,0.4056,0.6145,0.6319,0.4,0.0,0.45,0.4643,0.8105,0.2857,,0.375,0.5417,0.7624,0.3333,,0.4091,0.5,0.7857,0.0713,0.0759,0.0854,0.0909,0.0,0.2812,0.0,0.0526,0.0714,0.0,0.1579,0.0,0.125,0.08,,0.2022,,0.0741
2,1,attack_window_class,1088,761,163,164,5,97,18,0.1591,0.1942,0.2147,0.1154,0.0455,0.0,0.25,0.4667,0.0714,0.0769,0.0,0.2128,0.3818,0.0882,0.0571,,0.2299,0.42,0.0727,0.082,0.2195,0.0,0.0,0.0,0.0,0.973,,,,0.0,0.2236,,,,,0.3636
2,2,attack_window_class,1088,761,163,164,5,98,12,0.216,0.2524,0.2945,0.087,0.0476,0.0571,0.381,0.6429,0.2857,0.0588,0.1538,0.2759,0.3971,0.1333,0.0526,0.0833,0.32,0.4909,0.1314,0.1277,0.1402,0.3333,0.05,0.08,0.25,0.0746,0.1127,0.0625,0.2222,0.1842,0.1667,0.1684,0.0556,0.1176,0.2121,0.1031
2,3,attack_window_class,1088,761,163,164,5,96,1,0.1488,0.1431,0.184,0.5714,0.087,0.0,0.2051,0.1212,0.1616,0.2222,,0.2222,0.2105,0.252,0.125,,0.2133,0.1538,0.1358,0.1186,0.2012,0.7097,0.0769,0.0,0.0,0.3333,0.1964,0.2222,,,0.2093,0.3077,0.1143,,,0.2571
2,4,attack_window_class,1088,761,163,164,5,121,9,0.202,0.2265,0.2454,0.2963,0.0,0.4146,0.3023,0.0741,0.2759,0.0,0.2464,0.3714,0.0909,0.2857,,0.3091,0.3333,0.0816,0.1451,0.1486,0.1646,0.0,0.0476,0.4667,0.2083,0.1111,0.0,0.0455,0.2414,0.25,0.1667,,0.0465,0.3182,0.2273,0.1333
2,5,attack_window_class,1088,761,163,164,5,111,9,0.2576,0.2807,0.2761,0.1818,0.15,0.2727,0.4865,0.2157,0.125,0.1071,0.5,0.3214,0.3793,0.1481,0.125,0.3529,0.3871,0.275,0.1152,0.0944,0.1341,0.2083,0.2,0.0,0.4194,0.0,0.125,0.0833,0.0,0.2364,0.0,0.1562,0.1176,,0.3023,
2,6,attack_window_class,1088,761,163,164,5,72,2,0.1327,0.2188,0.2393,0.0,0.0,0.04,0.4571,0.3014,0.0,0.0,0.0435,0.2051,0.386,,,0.0417,0.2832,0.3385,0.1133,0.1935,0.2073,0.0,0.0,0.1379,0.08,0.3944,0.0,0.0,0.1212,0.0571,0.35,,,0.129,0.0667,0.3709
3,1,attack_window_class,1088,761,163,164,5,87,6,0.0638,0.0987,0.1472,0.0,0.0,0.0,0.8571,0.0508,0.0,0.0,0.0,0.1277,1.0,,,,0.2222,0.0968,0.2927,0.3685,0.439,0.1364,0.05,0.0323,0.8718,0.6346,0.2,0.3333,0.5,0.3696,0.6346,0.1622,0.087,0.0606,0.5191,0.6346
3,2,attack_window_class,1088,761,163,164,5,106,31,0.2391,0.2994,0.362,0.0,0.0952,0.1071,0.375,0.7241,0.0,0.3333,0.1667,0.5,0.3684,,0.1481,0.1304,0.4286,0.4884,0.1408,0.1608,0.25,0.0,0.0,0.0294,0.1778,0.9697,0.0,0.0,0.0667,0.4706,0.256,,,0.0408,0.2581,0.4051
