infrastructure_cluster,threat_cluster,target_col,n_rows,train_rows,val_rows,test_rows,train_pos_rate,val_pos_rate,test_pos_rate,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc,test_f1,best_iteration
1,1,target_next_24h,1088,761,163,164,0.06438896189224705,0.08588957055214724,0.06707317073170732,0.5958772770853308,0.1274485932286821,0.5103980986333927,0.07733872028618499,0.08333333333333333,14
1,2,target_next_24h,1088,761,163,164,0.05781865965834428,0.09202453987730061,0.06097560975609756,0.9513513513513514,0.6317574660594327,0.9714285714285714,0.5252350427350427,0.7407407407407407,70
1,3,target_next_24h,1088,761,163,164,0.05913272010512484,0.06134969325153374,0.06707317073170732,0.9575163398692811,0.5796463077984817,0.887106357694593,0.3343318001072012,0.5263157894736842,36
1,4,target_next_24h,1088,761,163,164,0.08804204993429698,0.0736196319018405,0.06707317073170732,0.9072847682119206,0.3119548146064626,0.923648247177659,0.34622887721214446,0.4782608695652174,6
1,5,target_next_24h,1088,761,163,164,0.07884362680683311,0.07975460122699386,0.054878048780487805,0.9076923076923077,0.41051934242669874,0.9318996415770608,0.42583237236015015,0.42105263157894735,99
1,6,target_next_24h,1088,761,163,164,0.06044678055190539,0.03067484662576687,0.06707317073170732,0.9708860759493672,0.6254901960784314,0.6512180629827689,0.12178666876710015,0.1111111111111111,379
2,1,target_next_24h,1088,761,163,164,0.08935611038107753,0.09815950920245399,0.08536585365853659,0.6991921768707483,0.25584107943156253,0.7223809523809523,0.23832834815074916,0.20689655172413793,24
2,2,target_next_24h,1088,761,163,164,0.07227332457293036,0.0736196319018405,0.07317073170731707,0.7030905077262694,0.1280034235916589,0.6469298245614035,0.11397882212999644,0.16417910447761194,0
2,3,target_next_24h,1088,761,163,164,0.08541392904073587,0.09202453987730061,0.10365853658536585,0.6770270270270271,0.19888137076484827,0.6854741896758703,0.239379237776014,0.2727272727272727,34
2,4,target_next_24h,1088,761,163,164,0.11300919842312747,0.08588957055214724,0.07926829268292683,0.6941514860977949,0.27196428709981346,0.6923076923076923,0.17424851927556723,0.21621621621621623,66
2,5,target_next_24h,1088,761,163,164,0.08278580814717477,0.0736196319018405,0.07317073170731707,0.7654525386313467,0.23665597611324285,0.5951206140350878,0.0879659929833039,0.15555555555555556,4
2,6,target_next_24h,1088,761,163,164,0.05913272010512484,0.049079754601226995,0.06707317073170732,0.8895161290322581,0.4403409090909091,0.6874628639334521,0.14419213438061484,0.14634146341463414,22
3,1,target_next_24h,1088,761,163,164,0.0735873850197109,0.04294478527607362,0.06707317073170732,0.7005494505494505,0.24235261918532594,0.5888294711824124,0.15703789032487364,0.17777777777777778,10
3,2,target_next_24h,1088,761,163,164,0.08541392904073587,0.0736196319018405,0.08536585365853659,0.7759381898454746,0.21464836382640606,0.5842857142857143,0.1139585468632591,0.2,1
3,3,target_next_24h,1088,761,163,164,0.07095926412614981,0.09202453987730061,0.07926829268292683,0.8247747747747748,0.3069292696046976,0.6617422312786552,0.1695936250558438,0.20689655172413793,42
3,4,target_next_24h,1088,761,163,164,0.09592641261498029,0.08588957055214724,0.042682926829268296,0.5534515819750719,0.10468897824030274,0.44494995450409464,0.047637609448501525,0.06535947712418301,0
3,5,target_next_24h,1088,761,163,164,0.06964520367936924,0.049079754601226995,0.09146341463414634,0.65,0.1003866911241349,0.5194630872483221,0.1093106296985143,0.06896551724137931,47
3,6,target_next_24h,1088,761,163,164,0.05781865965834428,0.09815950920245399,0.06707317073170732,0.5812074829931972,0.29345994359789535,0.4349376114081996,0.06211331882531877,0.08695652173913043,5
4,1,target_next_24h,1088,761,163,164,0.07490144546649145,0.03067484662576687,0.10975609756097561,0.6974683544303798,0.07633912616750146,0.3926940639269407,0.09556965143994134,0.14457831325301204,10
4,2,target_next_24h,1088,761,163,164,0.06701708278580815,0.10429447852760736,0.06707317073170732,0.46132151490733275,0.09823900089250537,0.5240641711229947,0.0753967107732913,0.13559322033898305,0
4,3,target_next_24h,1088,761,163,164,0.06438896189224705,0.03067484662576687,0.09146341463414634,0.5474683544303798,0.05090902472105578,0.4720357941834452,0.08515799306717017,0.07272727272727272,2
4,4,target_next_24h,1088,761,163,164,0.07227332457293036,0.09815950920245399,0.06097560975609756,0.5335884353741497,0.20430500960481707,0.5506493506493506,0.11945613558084212,0.125,33
4,5,target_next_24h,1088,761,163,164,0.052562417871222074,0.0736196319018405,0.03048780487804878,0.7196467991169978,0.17265482383160743,0.34213836477987425,0.040283897469317716,0.0392156862745098,2
4,6,target_next_24h,1088,761,163,164,0.05387647831800263,0.07975460122699386,0.054878048780487805,0.6994871794871795,0.15112170329432129,0.5369175627240144,0.06890958304594019,0.07692307692307693,100
