infrastructure_cluster,threat_cluster,target_col,n_rows,train_rows,val_rows,test_rows,train_pos_rate,val_pos_rate,test_pos_rate,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc,test_f1,best_iteration
1,1,target_next_7d,1088,761,163,164,0.3771353482260184,0.4539877300613497,0.34146341463414637,0.6702095353780746,0.6109317591810908,0.48991402116402116,0.31337556556956053,0.3247863247863248,114
1,2,target_next_7d,1088,761,163,164,0.35611038107752957,0.5337423312883436,0.31097560975609756,0.5673774954627949,0.6439843393443329,0.46841922609751857,0.29447253628976855,0.4114285714285714,0
1,3,target_next_7d,1088,761,163,164,0.3692509855453351,0.4539877300613497,0.36585365853658536,0.7755086547221378,0.8147070831070563,0.6705128205128205,0.6941195088763642,0.6206896551724138,8
1,4,target_next_7d,1088,761,163,164,0.47963206307490147,0.49079754601226994,0.3353658536585366,0.8580572289156627,0.8797053273557208,0.8951626355296081,0.8754557959679078,0.8392857142857143,1
1,5,target_next_7d,1088,761,163,164,0.4296977660972405,0.4294478527607362,0.3475609756097561,1.0,1.0,1.0,1.0,1.0,0
1,6,target_next_7d,1088,761,163,164,0.3403416557161629,0.2147239263803681,0.4024390243902439,0.9803571428571428,0.94072185732211,0.9285714285714286,0.9158593738638364,0.8125,412
2,1,target_next_7d,1088,761,163,164,0.5045992115637319,0.48466257668711654,0.5365853658536586,0.7552742616033755,0.7352815333670524,0.8045753588516746,0.7843054572535484,0.7006369426751592,109
2,2,target_next_7d,1088,761,163,164,0.43626806833114323,0.43558282208588955,0.39634146341463417,0.8608389467238211,0.8221900670544627,0.6344988344988345,0.6570100541834383,0.4823529411764706,98
2,3,target_next_7d,1088,761,163,164,0.43889618922470436,0.50920245398773,0.5182926829268293,0.8430722891566265,0.8444330960531325,0.761578555472822,0.7532469652438039,0.7582417582417582,313
2,4,target_next_7d,1088,761,163,164,0.5479632063074902,0.5214723926380368,0.42073170731707316,0.7873303167420814,0.8127854096252074,0.8678871090770404,0.772458712791776,0.7607361963190185,75
2,5,target_next_7d,1088,761,163,164,0.480946123521682,0.4294478527607362,0.4268292682926829,0.9254992319508448,0.8927210218112811,0.7671732522796353,0.6721791860345112,0.6533333333333333,388
2,6,target_next_7d,1088,761,163,164,0.32457293035479634,0.294478527607362,0.38414634146341464,0.8263586956521739,0.6884583908847455,0.8983184032688983,0.8241764683379111,0.75,4
3,1,target_next_7d,1088,761,163,164,0.4152431011826544,0.2822085889570552,0.39634146341463417,0.6708472686733556,0.42561239315219346,0.686013986013986,0.619629259050882,0.6271186440677966,39
3,2,target_next_7d,1088,761,163,164,0.469119579500657,0.4171779141104294,0.47560975609756095,0.8356037151702786,0.7340456913707474,0.7053518187239117,0.7401952316857627,0.6432748538011696,12
3,3,target_next_7d,1088,761,163,164,0.40473061760841,0.4662576687116564,0.4329268292682927,0.8363581367211131,0.8086250903672836,0.7163410570952596,0.6881695464240599,0.5263157894736842,41
3,4,target_next_7d,1088,761,163,164,0.5098554533508541,0.4539877300613497,0.23170731707317074,0.6330094139082902,0.6843643295299019,0.6667710944026735,0.452205233025841,0.4,10
3,5,target_next_7d,1088,761,163,164,0.39421813403416556,0.3006134969325153,0.4634146341463415,0.7745255997135697,0.6297936914377742,0.6223086124401913,0.612027047050953,0.5176470588235295,11
3,6,target_next_7d,1088,761,163,164,0.34296977660972405,0.588957055214724,0.3597560975609756,0.587764303482587,0.6913900190848736,0.6292978208232445,0.44187195340742996,0.5899280575539568,5
4,1,target_next_7d,1088,761,163,164,0.44021024967148487,0.2331288343558282,0.6097560975609756,0.6498947368421053,0.5085800293488252,0.56765625,0.6859078866777673,0.711864406779661,89
4,2,target_next_7d,1088,761,163,164,0.38896189224704336,0.5030674846625767,0.42073170731707316,0.5886781090033122,0.6211405927703089,0.34134248665141115,0.33480012404047943,0.15384615384615385,1
4,3,target_next_7d,1088,761,163,164,0.35742444152431013,0.17791411042944785,0.5182926829268293,0.5299794132784355,0.1966736096107754,0.5970215934475056,0.6798029442012277,0.5333333333333333,4
4,4,target_next_7d,1088,761,163,164,0.3902759526938239,0.50920245398773,0.36585365853658536,0.5837349397590361,0.6343028421662259,0.6293269230769232,0.45500597696070594,0.45112781954887216,3
4,5,target_next_7d,1088,761,163,164,0.3061760840998686,0.4723926380368098,0.15853658536585366,0.765176683781335,0.7473780900198642,0.48801560758082496,0.1664414068018204,0.2839506172839506,11
4,6,target_next_7d,1088,761,163,164,0.3180026281208936,0.49079754601226994,0.29878048780487804,0.667921686746988,0.6453692867680711,0.4137533274179237,0.26786223483968186,0.18421052631578946,4
