iter	Passed	Remaining
0	0	322
1	1	269
2	1	247
3	1	236
4	2	228
5	2	226
6	3	224
7	3	219
8	4	218
9	4	217
10	4	214
11	5	213
12	5	212
13	6	211
14	6	210
15	6	209
16	7	208
17	7	207
18	8	206
19	8	206
20	9	205
21	9	205
22	9	204
23	10	203
24	10	202
25	11	202
26	11	201
27	11	200
28	12	200
29	12	200
30	13	199
31	13	199
32	14	198
33	14	197
34	14	197
35	15	197
36	15	196
37	16	196
38	16	195
39	16	195
40	17	194
41	17	194
42	18	193
43	18	193
44	19	192
45	19	192
46	19	191
47	20	191
48	20	190
49	21	190
50	21	189
51	21	189
52	22	188
53	22	188
54	23	188
55	23	187
56	24	187
57	24	188
